SYMBOL,NAME OF COMPANY,SECTOR
IEX,Indian Energy Exchange Limited,Financial Services (Energy Exchange)
IFBAGRO,IFB Agro Industries Limited,Distilleries / Marine Products
IFBIND,IFB Industries Limited,Consumer Durables (Appliances)
IFCI,IFCI Limited,Financial Services (NBFC)
IFGLEXPOR,IFGL Refractories Limited,Industrial Products (Refractories)
IGARASHI,Igarashi Motors India Limited,Auto Ancillaries (Electric Motors)
IGCL,Indogulf Cropsciences Limited,Chemicals
IGIL,International Gemmological Institute (India) Limited,Services
IGL,Indraprastha Gas Limited,Utilities
IGPL,IG Petrochemicals Limited,Chemicals
IIFL,IIFL Finance Limited,Financial Services
IIFLCAPS,IIFL Capital Services Limited,Financial Services
IITL,Industrial Investment Trust Limited,Financial Services
IKIO,IKIO Technologies Limited,Consumer Durables
IKS,Inventurus Knowledge Solutions Limited,Healthcare
IL&FSENGG,IL&FS Engineering and Construction Company Limited,Construction
IL&FSTRANS,IL&FS Transportation Networks Limited,Construction
IMAGICAA,Imagicaaworld Entertainment Limited,Services
IMFA,Indian Metals & Ferro Alloys Limited,Metals & Mining
IMPAL,India Motor Parts and Accessories Limited,Auto Components
IMPEXFERRO,Impex Ferro Tech Limited,Metals & Mining
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,Metals & Mining
INDBANK,Indbank Merchant Banking Services Limited,Financial Services
INDGN,Indegene Limited,Healthcare
INDHOTEL,The Indian Hotels Company Limited,Services
INDIACEM,The India Cements Limited,Construction Materials
INDIAGLYCO,India Glycols Limited,Chemicals
INDIAMART,Indiamart Intermesh Limited,Services
INDIANB,Indian Bank,Financial Services
INDIANCARD,Indian Card Clothing Company Limited,Capital Goods
INDIANHUME,Indian Hume Pipe Company Limited,Construction
INDIASHLTR,India Shelter Finance Corporation Limited,Financial Services
INDIGO,InterGlobe Aviation Limited,Services
INDIGOPNTS,Indigo Paints Limited,Chemicals
INDIQUBE,Indiqube Spaces Limited,Services
INDNIPPON,India Nippon Electricals Limited,Auto Components
INDOAMIN,Indo Amines Limited,Chemicals
INDOBORAX,Indo Borax & Chemicals Limited,Chemicals
INDOCO,Indoco Remedies Limited,Healthcare
INDOFARM,Indo Farm Equipment Limited,Capital Goods
INDORAMA,Indo Rama Synthetics (India) Limited,Textiles
INDOSTAR,IndoStar Capital Finance Limited,Financial Services
INDOTECH,Indo Tech Transformers Limited,Capital Goods
INDOTHAI,Indo Thai Securities Limited,Financial Services
INDOUS,Indo Us Biotech Limited,Healthcare
INDOWIND,Indowind Energy Limited,Utilities
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare
INDSWFTLAB,Ind-Swift Laboratories Limited,Healthcare
INDTERRAIN,Indian Terrain Fashions Limited,Textiles
INDUSINDBK,IndusInd Bank Limited,Financial Services
INDUSTOWER,Indus Towers Limited,Telecommunication
INFOBEAN,InfoBeans Technologies Limited,IT
INFOMEDIA,Infomedia Press Limited,Services
INFY,Infosys Limited,IT
INGERRAND,Ingersoll Rand (India) Limited,Capital Goods
INNOVACAP,Innova Captab Limited,Healthcare
INNOVANA,Innovana Thinklabs Limited,IT
INOXGREEN,Inox Green Energy Services Limited,Utilities
INOXINDIA,INOX India Limited,Capital Goods
INOXWIND,Inox Wind Limited,Utilities
INSECTICID,Insecticides (India) Limited,Chemicals
INSPIRISYS,Inspirisys Solutions Limited,IT
INTELLECT,Intellect Design Arena Limited,IT
INTENTECH,Intense Technologies Limited,IT
INTERARCH,Interarch Building Solutions Limited,Construction
INTLCONV,International Conveyors Limited,Capital Goods
INVENTURE,Inventure Growth & Securities Limited,Financial Services (Stock Broking)
IOB,Indian Overseas Bank,Banking
IOC,Indian Oil Corporation Limited,Oil & Gas (Energy)
IOLCP,IOL Chemicals and Pharmaceuticals Limited,Pharmaceuticals & Specialty Chemicals
IONEXCHANG,ION Exchange (India) Limited,Water Treatment & Engineering
IPCALAB,IPCA Laboratories Limited,Pharmaceuticals
IPL,India Pesticides Limited,Agrochemicals
IRB,IRB Infrastructure Developers Limited,Infrastructure (Roads & Highways)
IRCON,Ircon International Limited,Infrastructure (Construction & Railways)
IRCTC,Indian Railway Catering And Tourism Corporation Limited,"Tourism, Catering & Rail Services"
IREDA,Indian Renewable Energy Development Agency Limited,Financial Services (Green Energy Financing)
IRFC,Indian Railway Finance Corporation Limited,Financial Services (Railway Leasing)
IRIS,IRIS RegTech Solutions Limited,IT Software (Compliance/RegTech)
IRISDOREME,Iris Clothings Limited,Textiles & Apparel (Readymade Garments)
IRMENERGY,IRM Energy Limited,Oil & Gas (City Gas Distribution)
ISFT,Intrasoft Technologies Limited,E-commerce / IT Services
ISGEC,Isgec Heavy Engineering Limited,Capital Goods / Heavy Engineering
ISHANCH,Ishan Dyes and Chemicals Limited,Chemicals (Dyes & Pigments)
ITC,ITC Limited,"FMCG, Cigarettes, Hotels, Paper & Agri-business"
ITCHOTELS,ITC Hotels Limited,Hospitality (Hotels & Resorts)
ITDC,India Tourism Development Corporation Limited,Tourism & Hospitality
ITI,ITI Limited,Telecommunications (Equipment)
IVALUE,Ivalue Infosolutions Limited,IT Services (VAD for Cybersecurity/Data)
IVC,IL&FS Investment Managers Limited,Financial Services (Private Equity)
IVP,IVP Limited,Chemicals (Foundry Chemicals)
IXIGO,Le Travenues Technology Limited,Travel & Tourism (Online Travel Agency)
IZMO,IZMO Limited,IT Software (Auto e-retailing solutions)
J&KBANK,The Jammu & Kashmir Bank Limited,Banking
JAGRAN,Jagran Prakashan Limited,Media & Publishing
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Pharmaceuticals
JAIBALAJI,Jai Balaji Industries Limited,Iron & Steel
JAICORPLTD,Jai Corp Limited,Plastic Products / Infrastructure
JAINREC,Jain Resource Recycling Limited,Recycling / Waste Management
JAIPURKURT,Nandani Creation Limited,Textiles & Apparel (Ethic Wear)
JAMNAAUTO,Jamna Auto Industries Limited,Auto Components (Springs/Suspension)
JARO,Jaro Institute of Technology Management and Research Limited,Education / EdTech
JASH,Jash Engineering Limited,Engineering (Water & Waste Equipment)
JAYAGROGN,Jayant Agro Organics Limited,Chemicals (Castor Oil derivatives)
JAYBARMARU,Jay Bharat Maruti Limited,Auto Components
JAYKAY,Jaykay Enterprises Limited,Systems & Software / Real Estate
JAYNECOIND,Jayaswal Neco Industries Limited,Iron & Steel / Foundries
JAYSREETEA,Jayshree Tea & Industries Limited,Tea & Plantations
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Pharmaceuticals
JBMA,JBM Auto Limited,Automobiles (Buses) & Components
JETFREIGHT,Jet Freight Logistics Limited,Logistics & Supply Chain
JGCHEM,J.G.Chemicals Limited,Chemicals (Zinc Oxide)
JHS,JHS Svendgaard Laboratories Limited,FMCG (Oral Care)
JINDALPHOT,Jindal Photo Limited,Photographic Products / Investments
JINDALPOLY,Jindal Poly Films Limited,Packaging Materials (BOPP/PET Films)
JINDALSAW,Jindal Saw Limited,Iron & Steel (Pipes & Tubes)
JINDALSTEL,JINDAL STEEL LIMITED,Iron & Steel
JINDRILL,Jindal Drilling And Industries Limited,Oil & Gas (Offshore Drilling)
JINDWORLD,Jindal Worldwide Limited,Textiles (Denim)
JIOFIN,Jio Financial Services Limited,Financial Services
JISLDVREQS,Jain Irrigation Systems Limited,Agriculture (Irrigation & Pipes)
JISLJALEQS,Jain Irrigation Systems Limited,Agriculture (Irrigation & Pipes)
JITFINFRA,JITF Infralogistics Limited,Infrastructure / Logistics
JKCEMENT,JK Cement Limited,Construction Materials (Cement)
JKIL,J.Kumar Infraprojects Limited,Infrastructure (Civil Engineering)
JKIPL,Jinkushal Industries Limited,Trading / Diversified
JKLAKSHMI,JK Lakshmi Cement Limited,Cement
JKPAPER,JK Paper Limited,Paper
JKTYRE,JK Tyre & Industries Limited,Auto Tyres
JLHL,Jupiter Life Line Hospitals Limited,Healthcare
JMA,Jullundur Motor Agency (Delhi) Limited,Auto Ancillaries
JMFINANCIL,JM Financial Limited,Financial Services
JNKINDIA,JNK India Limited,Engineering
JOCIL,Jocil Limited,Chemicals
JPASSOCIAT,Jaiprakash Associates Limited,Construction
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Financial Services
JPPOWER,Jaiprakash Power Ventures Limited,Power Generation
JSFB,Jana Small Finance Bank Limited,Banking
JSL,Jindal Stainless Limited,Steel
JSLL,Jeena Sikho Lifecare Limited,Healthcare
JSWCEMENT,JSW Cement Limited,Cement
JSWENERGY,JSW Energy Limited,Power Generation
JSWHL,JSW Holdings Limited,Financial Services
JSWINFRA,JSW Infrastructure Limited,Infrastructure
JSWSTEEL,JSW Steel Limited,Steel
JTEKTINDIA,Jtekt India Limited,Auto Components
JTLIND,JTL INDUSTRIES LIMITED,Steel
JUBLCPL,Jubilant Agri and Consumer Products Limited,Agriculture
JUBLFOOD,Jubilant Foodworks Limited,Food Services
JUBLINGREA,Jubilant Ingrevia Limited,Chemicals
JUBLPHARMA,Jubilant Pharmova Limited,Pharmaceuticals
JUNIPER,Juniper Hotels Limited,Hospitality
JUSTDIAL,Just Dial Limited,IT Services
JWL,Jupiter Wagons Limited,Heavy Engineering
JYOTHYLAB,Jyothy Labs Limited,FMCG
JYOTICNC,Jyoti CNC Automation Limited,Machinery
JYOTISTRUC,Jyoti Structures Limited,Power Infrastructure
KABRAEXTRU,Kabra Extrusion Technik Limited,Machinery
KAJARIACER,Kajaria Ceramics Limited,Building Materials
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,Cement & Sugar
KALAMANDIR,Sai Silks (Kalamandir) Limited,Retail
KALPATARU,Kalpataru Limited,Construction
KALYANI,Kalyani Commercials Limited,Trading
KALYANIFRG,Kalyani Forge Limited,Auto Components
KALYANKJIL,Kalyan Jewellers India Limited,Retail
KAMATHOTEL,Kamat Hotels (I) Limited,Hospitality
KAMDHENU,Kamdhenu Limited,Building Materials
KAMOPAINTS,Kamdhenu Ventures Limited,Paints
KANANIIND,Kanani Industries Limited,Jewelry
KANORICHEM,Kanoria Chemicals & Industries Limited,Chemicals
KANPRPLA,Kanpur Plastipack Limited,Packaging
KANSAINER,Kansai Nerolac Paints Limited,Paints
KAPSTON,Kapston Services Limited,Facilities Management
KARMAENG,Karma Energy Limited,Renewable Energy
KARURVYSYA,Karur Vysya Bank Limited,Banking
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Infrastructure
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,Telecommunications
KAYA,Kaya Limited,Personal Care
KAYNES,Kaynes Technology India Limited,Electronics
KCP,KCP Limited,Cement
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Sugar
KDDL,KDDL Limited,Consumer Durables
KEC,KEC International Limited,Power Infrastructure
KECL,Kirloskar Electric Company Limited,Electrical Equipment
KEEPLEARN,DSJ Keep Learning Limited,Education
KEI,KEI Industries Limited,Cables
KELLTONTEC,Kellton Tech Solutions Limited,IT Services
KERNEX,Kernex Microsystems (India) Limited,Tech Systems
KESORAMIND,Kesoram Industries Limited,Cement
KEYFINSERV,Keynote Financial Services Limited,Financial Services
KFINTECH,Kfin Technologies Limited,Financial Technology
KHADIM,Khadim India Limited,Footwear
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Chemicals
KHAITANLTD,Khaitan (India) Limited,Agriculture
KHANDSE,Khandwala Securities Limited,Financial Services
KICL,Kalyani Investment Company Limited,Financial Services
KILITCH,Kilitch Drugs (India) Limited,Pharmaceuticals
KIMS,Krishna Institute of Medical Sciences Limited,Hospitals & Healthcare Services
KINGFA,Kingfa Science & Technology (India) Limited,Specialty Chemicals / Plastics
KIOCL,KIOCL Limited,Mining & Iron Ore Pellets
KIRIINDUS,Kiri Industries Limited,Specialty Chemicals (Dyes & Intermediates)
KIRLOSBROS,Kirloskar Brothers Limited,Industrial Pumps & Engineering
KIRLOSENG,Kirloskar Oil Engines Limited,Engines & Power Equipment
KIRLOSIND,Kirloskar Industries Limited,Industrial Conglomerate
KIRLPNU,Kirloskar Pneumatic Company Limited,Industrial Machinery & Compressors
KITEX,Kitex Garments Limited,Textiles & Apparel
KKCL,Kewal Kiran Clothing Limited,Apparel & Fashion Retail
KMEW,Knowledge Marine & Engineering Works Limited,Marine Engineering & Dredging Services
KMSUGAR,K.M.Sugar Mills Limited,Sugar & Ethanol
KNAGRI,KN Agri Resources Limited,Agri Processing / Edible Oils
KNRCON,KNR Constructions Limited,Infrastructure & EPC
KOHINOOR,Kohinoor Foods Limited,Food Processing (Rice & Packaged Foods)
KOKUYOCMLN,Kokuyo Camlin Limited,Stationery & Office Supplies
KOLTEPATIL,Kolte - Patil Developers Limited,Real Estate Development
KOPRAN,Kopran Limited,Pharmaceuticals
KOTAKBANK,Kotak Mahindra Bank Limited,Banking & Financial Services
KOTARISUG,Kothari Sugars And Chemicals Limited,Sugar & Chemicals
KOTHARIPET,Kothari Petrochemicals Limited,Petrochemicals
KOTHARIPRO,Kothari Products Limited,FMCG (Consumer Goods)
KPEL,K.P. Energy Limited,Renewable Energy (Wind)
KPIGREEN,KPI Green Energy Limited,Renewable Energy (Solar)
KPIL,Kalpataru Projects International Limited,Infrastructure & EPC
KPITTECH,KPIT Technologies Limited,IT Services (Automotive Software)
KPRMILL,K.P.R. Mill Limited,Textiles & Garments
KRBL,KRBL Limited,Food Processing (Basmati Rice)
KREBSBIO,Krebs Biochemicals and Industries Limited,Biotechnology / Pharmaceuticals
KRIDHANINF,Kridhan Infra Limited,Infrastructure & Construction
KRISHANA,Krishana Phoschem Limited,Fertilizers & Chemicals
KRISHIVAL,Krishival Foods Limited,Food Processing
KRISHNADEF,Krishna Defence And Allied Industries Limited,Defence Equipment Manufacturing
KRITI,Kriti Industries (India) Limited,Pipes & Plastic Products
KRITIKA,Kritika Wires Limited,Steel & Wire Manufacturing
KRITINUT,Kriti Nutrients Limited,Edible Oils & Agro Products
KRN,KRN Heat Exchanger and Refrigeration Limited,Industrial Equipment
KRONOX,Kronox Lab Sciences Limited,Specialty Chemicals
KROSS,Kross Limited,Auto Components
KRSNAA,Krsnaa Diagnostics Limited,Diagnostics & Healthcare Services
KRYSTAL,Krystal Integrated Services Limited,Facility Management Services
KSB,Ksb Limited,Industrial Pumps & Valves
KSCL,Kaveri Seed Company Limited,Agriculture Seeds
KSHINTL,KSH International Limited,Electrical Equipment
KSHITIJPOL,Kshitij Polyline Limited,Plastic Packaging Products
KSL,Kalyani Steels Limited,Steel Manufacturing
KSOLVES,Ksolves India Limited,IT Services & Consulting
KSR,KSR Footwear Limited,Footwear Manufacturing
KTKBANK,The Karnataka Bank Limited,Banking
KUANTUM,Kuantum Papers Limited,Paper Manufacturing
KWIL,Kwality Wall's (India) Limited,Ice Cream & Frozen Desserts (FMCG)
LAGNAM,Lagnam Spintex Limited,Textiles (Yarn Manufacturing)
LAKPRE,Lakshmi Precision Screws Limited,Fasteners & Auto Components
LAL,Lorenzini Apparels Limited,Apparel Manufacturing
LALPATHLAB,Dr. Lal Path Labs Ltd.,Diagnostics & Healthcare Services
LAMBODHARA,Lambodhara Textiles Limited,Textiles
LANCORHOL,Lancor Holdings Limited,Real Estate
LANDMARK,Landmark Cars Limited,Automobile Dealership
LAOPALA,La Opala RG Limited,Glassware & Consumer Products
LASA,Lasa Supergenerics Limited,Animal Health Pharmaceuticals
LATENTVIEW,Latent View Analytics Limited,Data Analytics & AI Services
LATTEYS,Latteys Industries Limited,Irrigation Equipment
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals & APIs
LAXMICOT,Laxmi Cotspin Limited,Textiles
LAXMIDENTL,Laxmi Dental Limited,Dental Products & Services
LAXMIINDIA,Laxmi India Finance Limited,NBFC (Financial Services)
LCCINFOTEC,LCC Infotech Limited,IT Training & Services
LEMERITE,Le Merite Exports Limited,Textiles & Exports
LEMONTREE,Lemon Tree Hotels Limited,Hospitality & Hotels
LENSKART,Lenskart Solutions Limited,IT Services / Technology
LEXUS,Lexus Granito (India) Limited,IT Services / Technology
LFIC,Lakshmi Finance & Industrial Corporation Limited,Financial Services
LGBBROSLTD,LG Balakrishnan & Bros Limited,IT Services / Technology
LGEINDIA,LG Electronics India Limited,IT Services / Technology
LGHL,Laxmi Goldorna House Limited,IT Services / Technology
LIBAS,Libas Consumer Products Limited,IT Services / Technology
LIBERTSHOE,Liberty Shoes Limited,IT Services / Technology
LICHSGFIN,LIC Housing Finance Limited,Financial Services
LICI,Life Insurance Corporation Of India,Financial Services
LIKHITHA,Likhitha Infrastructure Limited,IT Services / Technology
LINC,Linc Limited,IT Services / Technology
LINCOLN,Lincoln Pharmaceuticals Limited,Healthcare / Pharmaceuticals
LINDEINDIA,Linde India Limited,IT Services / Technology
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,IT Services / Technology
LLOYDSENT,Lloyds Enterprises Limited,IT Services / Technology
LLOYDSME,Lloyds Metals And Energy Limited,IT Services / Technology
LMW,LMW Limited,IT Services / Technology
LODHA,Lodha Developers Limited,IT Services / Technology
LOKESHMACH,Lokesh Machines Limited,IT Services / Technology
LORDSCHLO,Lords Chloro Alkali Limited,IT Services / Technology
LOTUSDEV,Sri Lotus Developers and Realty Limited,IT Services / Technology
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Healthcare / Pharmaceuticals
LOVABLE,Lovable Lingerie Limited,IT Services / Technology
LOYALTEX,Loyal Textile Mills Limited,IT Services / Technology
LPDC,Landmark Property Development Company Limited,IT Services / Technology
LT,Larsen & Toubro Limited,IT Services / Technology
LTF,L&T Finance Limited,Financial Services
LTFOODS,LT Foods Limited,IT Services / Technology
LTIM,LTIMindtree Limited,IT Services / Technology
LTTS,L&T Technology Services Limited,IT Services / Technology
LUMAXIND,Lumax Industries Limited,IT Services / Technology
LUMAXTECH,Lumax Auto Technologies Limited,IT Services / Technology
LUPIN,Lupin Limited,IT Services / Technology
LUXIND,Lux Industries Limited,IT Services / Technology
LXCHEM,Laxmi Organic Industries Limited,IT Services / Technology
LYKALABS,Lyka Labs Limited,Healthcare / Pharmaceuticals
LYPSAGEMS,Lypsa Gems & Jewellery Limited,IT Services / Technology
M&M,Mahindra & Mahindra Limited,IT Services / Technology
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services
MAANALU,Maan Aluminium Limited,IT Services / Technology
MACPOWER,Macpower CNC Machines Limited,IT Services / Technology
MADHAV,Madhav Marbles and Granites Limited,IT Services / Technology
MADHUCON,Madhucon Projects Limited,IT Services / Technology
MADRASFERT,Madras Fertilizers Limited,IT Services / Technology
MAGADSUGAR,Magadh Sugar & Energy Limited,IT Services / Technology
MAGNUM,Magnum Ventures Limited,IT Services / Technology
MAHABANK,Bank of Maharashtra,Financial Services
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,IT Services / Technology
MAHASTEEL,Mahamaya Steel Industries Limited,IT Services / Technology
MAHEPC,Mahindra EPC Irrigation Limited,IT Services / Technology
MAHESHWARI,Maheshwari Logistics Limited,IT Services / Technology
MAHLIFE,Mahindra Lifespace Developers Limited,IT Services / Technology
MAHLOG,Mahindra Logistics Limited,IT Services / Technology
MAHSCOOTER,Maharashtra Scooters Limited,IT Services / Technology
MAHSEAMLES,Maharashtra Seamless Limited,IT Services / Technology
MAITHANALL,Maithan Alloys Limited,IT Services / Technology
MALLCOM,Mallcom (India) Limited,IT Services / Technology
MALUPAPER,Malu Paper Mills Limited,IT Services / Technology
MAMATA,Mamata Machinery Limited,IT Services / Technology
MANAKALUCO,Manaksia Aluminium Company Limited,IT Services / Technology
MANAKCOAT,Manaksia Coated Metals & Industries Limited,IT Services / Technology
MANAKSIA,Manaksia Limited,IT Services / Technology
MANAKSTEEL,Manaksia Steels Limited,IT Services / Technology
MANALIPETC,Manali Petrochemicals Limited,IT Services / Technology
MANAPPURAM,Manappuram Finance Limited,Financial Services
MANBA,Manba Finance Limited,Financial Services
MANCREDIT,Mangal Credit and Fincorp Limited,Financial Services
MANGALAM,Mangalam Drugs And Organics Limited,IT Services / Technology
MANGLMCEM,Mangalam Cement Limited,IT Services / Technology
MANINDS,Man Industries (India) Limited,IT Services / Technology
MANINFRA,Man Infraconstruction Limited,IT Services / Technology
MANKIND,Mankind Pharma Limited,Healthcare / Pharmaceuticals
MANOMAY,Manomay Tex India Limited,IT Services / Technology
MANORAMA,Manorama Industries Limited,IT Services / Technology
MANORG,Mangalam Organics Limited,IT Services / Technology
MANUGRAPH,Manugraph India Limited,IT Services / Technology
MANYAVAR,Vedant Fashions Limited,IT Services / Technology
MAPMYINDIA,C.E. Info Systems Limited,IT Services / Technology
MARALOVER,Maral Overseas Limited,IT Services / Technology
MARATHON,Marathon Nextgen Realty Limited,IT Services / Technology
MARICO,Marico Limited,IT Services / Technology
MARINE,Marine Electricals (India) Limited,IT Services / Technology
MARKOLINES,Markolines Pavement Technologies Limited,IT Services / Technology
MARKSANS,Marksans Pharma Limited,Healthcare / Pharmaceuticals
MARUTI,Maruti Suzuki India Limited,IT Services / Technology
MASFIN,MAS Financial Services Limited,Financial Services
MASKINVEST,Mask Investments Limited,IT Services / Technology
MASTEK,Mastek Limited,IT Services / Technology
MASTERTR,Master Trust Limited,IT Services / Technology
MATRIMONY,Matrimony.Com Limited,IT Services / Technology
MAWANASUG,Mawana Sugars Limited,IT Services / Technology
MAXESTATES,Max Estates Limited,IT Services / Technology
MAXHEALTH,Max Healthcare Institute Limited,Healthcare / Pharmaceuticals
MAXIND,Max India Limited,IT Services / Technology
MAYURUNIQ,Mayur Uniquoters Ltd,Diversified / Other
MAZDA,Mazda Limited,IT Services / Technology
MAZDOCK,Mazagon Dock Shipbuilders Limited,IT Services / Technology
MBAPL,Madhya Bharat Agro Products Limited,IT Services / Technology
MBEL,M & B Engineering Limited,IT Services / Technology
MBLINFRA,MBL Infrastructure Limited,IT Services / Technology
MCL,Madhav Copper Limited,IT Services / Technology
MCLEODRUSS,Mcleod Russel India Limited,IT Services / Technology
MCLOUD,Magellanic Cloud Limited,IT Services / Technology
MCX,Multi Commodity Exchange of India Limited,Financial Services
MEDANTA,Global Health Limited,Healthcare / Pharmaceuticals
MEDIASSIST,Medi Assist Healthcare Services Limited,Healthcare / Pharmaceuticals
MEDICAMEQ,Medicamen Biotech Limited,Healthcare / Pharmaceuticals
MEDICO,Medico Remedies Limited,Healthcare / Pharmaceuticals
MEDPLUS,Medplus Health Services Limited,Healthcare / Pharmaceuticals
MEESHO,Meesho Limited,IT Services / Technology
MEGASTAR,Megastar Foods Limited,IT Services / Technology
MEIL,Mangal Electrical Industries Limited,IT Services / Technology
MENONBE,Menon Bearings Limited,IT Services / Technology
MEP,MEP Infrastructure Developers Limited,IT Services / Technology
METROBRAND,Metro Brands Limited,IT Services / Technology
METROPOLIS,Metropolis Healthcare Limited,Healthcare / Pharmaceuticals
MFML,Mahalaxmi Fabric Mills Limited,IT Services / Technology
MFSL,Max Financial Services Limited,Financial Services
MGEL,Mangalam Global Enterprise Limited,IT Services / Technology
MGL,Mahanagar Gas Limited,IT Services / Technology
MHLXMIRU,Mahalaxmi Rubtech Limited,IT Services / Technology
MHRIL,Mahindra Holidays & Resorts India Limited,IT Services / Technology
MICEL,MIC Electronics Limited,IT Services / Technology
MIDHANI,Mishra Dhatu Nigam Limited,IT Services / Technology
MIDWESTLTD,Midwest Limited,IT Services / Technology
MINDACORP,Minda Corporation Limited,IT Services / Technology
MINDTECK,Mindteck (India) Limited,IT Services / Technology
MIRCELECTR,MIRC Electronics Limited,IT Services / Technology
MIRZAINT,Mirza International Limited,IT Services / Technology
MITCON,MITCON Consultancy & Engineering Services Limited,IT Services / Technology
MITTAL,Mittal Life Style Limited,IT Services / Technology
MKPL,M K Proteins Limited,IT Services / Technology
MMFL,MM Forgings Limited,IT Services / Technology
MMP,MMP Industries Limited,IT Services / Technology
MMTC,MMTC Limited,IT Services / Technology
MOBIKWIK,One Mobikwik Systems Limited,IT Services / Technology
MODINATUR,Modi Naturals Limited,IT Services / Technology
MODIRUBBER,Modi Rubber Limited,IT Services / Technology
MODIS,Modis Navnirman Limited,IT Services / Technology
MODISONLTD,MODISON LIMITED,IT Services / Technology
MODTHREAD,Modern Threads (India) Limited,IT Services / Technology
MOHITIND,Mohit Industries Limited,IT Services / Technology
MOIL,MOIL Limited,IT Services / Technology
MOKSH,Moksh Ornaments Limited,IT Services / Technology
MOL,Meghmani Organics Limited,IT Services / Technology
MOLDTECH,Mold-Tek Technologies Limited,IT Services / Technology
MOLDTKPAC,Mold-Tek Packaging Limited,IT Services / Technology
MONARCH,Monarch Networth Capital Limited,Financial Services
MONEYBOXX,Moneyboxx Finance Limited,Financial Services
MONTECARLO,Monte Carlo Fashions Limited,IT Services / Technology
MORARJEE,Morarjee Textiles Limited,IT Services / Technology
MOREPENLAB,Morepen Laboratories Limited,IT Services / Technology
MOSCHIP,Moschip Technologies Limited,IT Services / Technology
MOTHERSON,Samvardhana Motherson International Limited,IT Services / Technology
MOTILALOFS,Motilal Oswal Financial Services Limited,Financial Services
MOTISONS,Motisons Jewellers Limited,IT Services / Technology
MOTOGENFIN,The Motor & General Finance Limited,Financial Services
MPHASIS,MphasiS Limited,IT Services / Technology
MPSLTD,MPS Limited,IT Services / Technology
MRF,MRF Limited,Industrial / Diversified
MRPL,Mangalore Refinery and Petrochemicals Limited,Chemicals
MSPL,MSP Steel & Power Limited,Metals & Mining
MSTCLTD,Mstc Limited,Industrial / Diversified
MSUMI,Motherson Sumi Wiring India Limited,Industrial / Diversified
MTARTECH,Mtar Technologies Limited,Information Technology
MTEDUCARE,MT Educare Limited,Industrial / Diversified
MTNL,Mahanagar Telephone Nigam Limited,Industrial / Diversified
MUFIN,Mufin Green Finance Limited,Financial Services
MUFTI,Credo Brands Marketing Limited,Industrial / Diversified
MUKANDLTD,Mukand Limited,Industrial / Diversified
MUKKA,Mukka Proteins Limited,Food & Agriculture
MUKTAARTS,Mukta Arts Limited,Industrial / Diversified
MUNJALAU,Munjal Auto Industries Limited,Automobile & Auto Components
MUNJALSHOW,Munjal Showa Limited,Industrial / Diversified
MURUDCERA,Murudeshwar Ceramics Limited,Industrial / Diversified
MUTHOOTCAP,Muthoot Capital Services Limited,Financial Services
MUTHOOTFIN,Muthoot Finance Limited,Financial Services
MUTHOOTMF,Muthoot Microfin Limited,Industrial / Diversified
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,Industrial / Diversified
MWL,Mangalam Worldwide Limited,Industrial / Diversified
NACLIND,NACL Industries Limited,Industrial / Diversified
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,Chemicals
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,Financial Services
NAGREEKEXP,Nagreeka Exports Limited,Industrial / Diversified
NAHARCAP,Nahar Capital and Financial Services Limited,Financial Services
NAHARINDUS,Nahar Industrial Enterprises Limited,Industrial / Diversified
NAHARPOLY,Nahar Poly Films Limited,Industrial / Diversified
NAHARSPING,Nahar Spinning Mills Limited,Industrial / Diversified
NAM-INDIA,Nippon Life India Asset Management Limited,Financial Services
NARMADA,Narmada Agrobase Limited,Food & Agriculture
NATCAPSUQ,Natural Capsules Limited,Industrial / Diversified
NATCOPHARM,Natco Pharma Limited,Healthcare / Pharmaceuticals
NATHBIOGEN,Nath Bio-Genes (India) Limited,Industrial / Diversified
NATIONALUM,National Aluminium Company Limited,Metals & Mining
NAUKRI,Info Edge (India) Limited,Industrial / Diversified
NAVA,NAVA LIMITED,Industrial / Diversified
NAVINFLUOR,Navin Fluorine International Limited,Industrial / Diversified
NAVKARCORP,Navkar Corporation Limited,Industrial / Diversified
NAVKARURB,Navkar Urbanstructure Limited,Industrial / Diversified
NAVNETEDUL,Navneet Education Limited,Industrial / Diversified
NAZARA,Nazara Technologies Limited,Information Technology
NBCC,NBCC (India) Limited,Industrial / Diversified
